PEOPLE,STKCOD,DOCNUM,DOCDAT,TRNQTY,STKDES
บ-009,T1956015ASSURGY,RN1509170006,9/17/2015,5.0,ยางนอก GY 195/60-15 ASSUR
บ-009,T1856015TZ700FS,RR170228001,3/1/2017,4.0,ยางนอก FS 185/60-15 TZ700
บ-009,T1856015TZ700FS,RR170227001,3/1/2017,2.0,ยางนอก FS 185/60-15 TZ700
บ-009,T1856015TZ700FS,RN170227004,3/3/2017,4.0,ยางนอก FS 185/60-15 FS100
บ-009,T2453520K452FK,RN170727002,7/28/2017,12.0,ยางนอก FK 245/35-20 FK452
บ-009,T2155517NT860,RN170828002,8/29/2017,1.0,ยางนอก NT215/55-17 NT860
บ-009,T2654022KL12KUMHO,RN170911003,9/12/2017,2.0,ยางนอก KUMHO 265/40-22 KL12
บ-009,T2454518PS31KH,RN171019004,10/20/2017,1.0,ยางนอก KH 245/45-18 PS31
บ-009,T1955515TOYO,RN171208005,12/11/2017,2.0,ยางนอก TOYO 195/55-15 T1R
บ-009,T2156016CF2TOYO,RN171208005,12/11/2017,2.0,ยางนอก TOYO 215/60-16 CF2
บ-009,T2454520PARADAYK00,RN171211006,12/16/2017,1.0,ยางนอก YK 245/45-20 PA02
บ-009,T2256017RV02YK,RN171027005,12/18/2017,4.0,ยางนอก YK 225/60-17 RV02
บ-009,MAX WHEEL,RN180107001,1/15/2018,4.0,ล้อแม็กซ์
บ-009,T2155517RE003,RN180130002,2/1/2018,2.0,ยางนอก BS 215/55-17 RE003
บ-009,T2755520TOYO,RN180202004,2/3/2018,8.0,ยางนอก YOKO 275/55-20 PA2
บ-009,T2657016K02,RN180202004,2/3/2018,2.0,ยางรถยนต์ 265/70-16 K02 / BF
บ-009,T2155517E70YK,RN180208002,2/8/2018,1.0,ยางนอก YK 215/55-17 E70
บ-009,T2254018RE003BS00,RN180209004,2/12/2018,2.0,ยางนอก BS 225/40-18 RE003
บ-009,T2657516R405,RN180214003,2/24/2018,20.0,ยางนอก DS 265/75-16 R405
บ-009,T2656018X401,RN180221004,2/24/2018,1.0,ยางนอก 265/60-18 X401
บ-009,T2657516R405,HP180214004,2/24/2018,20.0,ยางนอก DS 265/75-16 R405
บ-009,T1656013R201,RN180306005,3/8/2018,12.0,ยางนอก 165/60-13 R201
บ-009,T2557015ATSAGY,RN180306005,3/8/2018,1.0,ยางนอก GY 255/70-15 AT/SA
บ-009,T2655020KL12KM,HP180305001,3/8/2018,1.0,ยางนอก KM 265/50-20 KL12
บ-009,MAX WHEEL,RN180309004,3/12/2018,4.0,ล้อแม็กซ์
บ-009,T2657516R405,HP180308001,3/13/2018,90.0,ยางนอก DS 265/75-16 R405
บ-009,T2657516R405,HP180307002,3/13/2018,80.0,ยางนอก DS 265/75-16 R405
บ-009,T1557012R202DS,HP180312001,3/13/2018,4.0,ยางนอก DS 155/70-12 R202
บ-009,T2355018PXC1S,RN180314002,3/15/2018,2.0,ยางนอก TOYO 235/50-18 PXC1S
บ-009,T2657516R405,RN1803210001,3/30/2018,155.0,ยางนอก DS 265/75-16 R405
บ-009,T2657516R405,HP180321002,3/30/2018,155.0,ยางนอก DS 265/75-16 R405
บ-009,T2656018D684BS00,RR180213005,4/3/2018,4.0,ยางนอก BS 265/60-18 D684
บ-009,T2657516R405,RR180224013,4/3/2018,5.0,ยางนอก DS 265/75-16 R405
บ-009,T2655020AT1MT,RN180405004,4/9/2018,7.0,ยางนอก MT 265/50-20 AT-1
บ-009,T,RN180331007,4/23/2018,2.0,ยางรถยนต์
บ-009,T2155017RE003BS00,RN180331008,4/23/2018,4.0,ยางนอก BS 215/50-17 RE003
บ-009,T2457016SUVML00,RN180331009,4/23/2018,1.0,ยางนอก ML 245/70-16 SUV
บ-009,T2254518C1STOYO,HP180402001,4/23/2018,2.0,ยางนอก TOYO 225/45-18 C1S
บ-009,T2254517DT30DAYTON,HP180401001,4/23/2018,1.0,ยางนอก DAYTON 225/45-17 DT30
บ-009,T8.518.5114.3,RN180513001,5/15/2018,4.0,ยางรถยนต์ 8.5X18.5-114.3 JAGER
บ-009,T2155017RE003BS00,HP180519002,5/25/2018,4.0,ยางนอก BS 215/50-17 RE003
บ-009,T2156516HPGY00,HP180531004,6/1/2018,1.0,ยางนอก GY 215 /65 -16 GARGO
บ-009,T2354018C1STOYO,RN180604002,6/6/2018,1.0,ยางนอก TOYO 235/40-18 C1S
บ-009,T2654022PA02YK,RN180606008,6/7/2018,1.0,ยางนอก YK 265/40-22 PA02
บ-009,T2057015R624BS00,HP180612001,6/13/2018,1.0,ยางนอก BS 205/70-15R624
บ-009,T2453520K452FK,PN180613003,6/14/2018,1.0,ยางนอก FK 245/35-20 FK452
บ-009,T2355018PXC1S,RN180620005,6/21/2018,2.0,ยางนอก TOYO 235/50-18 PXC1S
บ-009,T2355018PXC1S,RN180621005,6/23/2018,2.0,ยางนอก TOYO 235/50-18 PXC1S
บ-009,T2355518R603,RN180630008,7/2/2018,2.0,ยางนอก DS 235/55-18 R603
บ-009,T1955016AE50,RN180705002,7/6/2018,1.0,ยางนอก YK 195/50-16 AE50
บ-009,T2656018NTGA2NT,RN180705003,7/6/2018,2.0,ยางนอก NT 265/60-18 NTGA2
บ-009,T2656018G015,RN180705003,7/6/2018,1.0,ยางนอก YK 265/60-18 G015
บ-009,T2356017WRANGLERGY,RN180706008,7/7/2018,1.0,ยางนอก GY 235/60-17 WRANGLER TRIPIEMAX
บ-009,T2055016MY02BS00,RN180707006,7/9/2018,1.0,ยางนอก BS 205  /50 -16 MY02
บ-009,T1856016EC300,RN180713007,7/14/2018,1.0,ยางนอก DL 185/60-16 EC300
บ-009,T1854515NS2NK,RN180713008,7/14/2018,4.0,ยางนอก NK 185/45-15 NS2
บ-009,T2155517AE50YK,HP180713001,7/14/2018,2.0,ยางนอก YK 215/55-17 AE50
บ-009,T2255017EP200BS00,HP180713001,7/14/2018,1.0,ยางนอก BS 225 / 50 -17 Ecopia EP200
บ-009,T2254518C1STOYO,RN180719003,7/21/2018,1.0,ยางนอก TOYO 225/45-18 C1S
บ-009,T1856016EC300,HP180713002,7/21/2018,1.0,ยางนอก DL 185/60-16 EC300
บ-009,T2657016G015YK,RN180722003,7/23/2018,4.0,ยางนอก YK 265/70-16 G015
บ-009,T2257015D603,RN180724003,7/26/2018,2.0,ยางนอก DS 225/70-15 D603
บ-009,T2655020NT420,RN180724003,7/26/2018,6.0,ยางนอก NT 265/50-20 NT420
บ-009,T2656018NT420NT,RN180803005,8/4/2018,4.0,ยางนอก NT 265/60-18 NT420
บ-009,T1656013R203DS,RN180821004,8/22/2018,8.0,ยางนอก DS 165/60-13 R203
