PEOPLE,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,RFM_Score
-1,2,610,1857729.2799999998,1,1,1,111
1,3,482,1623626.53,1,1,1,111
10-1683,426,2,1600.0,4,4,3,443
10-1946ชบ,193,2,800.0,3,4,3,343
10-2090ชบ,289,4,3800.0,3,3,2,332
10-2809ชบ,241,9,7400.0,3,2,2,322
10-6263ชบ,25,9,7000.0,1,2,2,122
10-6444ชบ,200,2,200.0,3,4,4,344
10-6505ชบ,269,13,10750.0,3,1,1,311
14-9628,228,2,100.0,3,4,4,344
15-0237,212,2,550.0,3,4,4,344
15-6362,303,4,6000.0,3,3,2,332
15-6561,274,3,550.0,3,4,4,344
15-6994,257,6,2900.0,3,2,2,322
15-7420,227,10,1295.0,3,2,3,323
15-7537,178,3,560.0,3,4,4,344
15-7689,186,2,1400.0,3,4,3,343
15-8005,278,4,260.0,3,3,4,334
15-8017,200,2,200.0,3,4,4,344
1ก0001,4,4,499.99,1,3,4,134
1ก0002,127,8,1080.3700000000001,2,2,3,223
1ก0003,134,20,2646.7200000000003,2,1,2,212
1ก0005,155,2,299.07,2,4,4,244
1กก-5079,188,8,5880.0,3,2,2,322
1กก-5598,197,2,1500.0,3,4,3,343
1กก-6127,324,9,3498.0,4,2,2,422
1กก-7314,355,2,1200.0,4,4,3,443
1กก-7424,411,9,12400.0,4,2,1,421
1กก-7469,341,4,128.0,4,3,4,434
1กข-2601,5,5,660.0,1,3,4,134
1กข-2898,252,2,1800.0,3,4,3,343
1กข-4363,18,8,3200.0,1,2,2,122
1กข-4505,329,2,0.0,4,4,4,444
1กข-7482,245,3,2500.0,3,4,2,342
1กค-2187,315,9,9800.0,4,2,1,421
1กค-2417,368,2,380.0,4,4,4,444
1กค-4873,28,18,11650.0,1,1,1,111
1กค-599,268,9,18000.0,3,2,1,321
1กค-7281,45,12,7540.0,1,1,2,112
1กค-7304,45,2,3000.0,1,4,2,142
1กค-7558,30,7,1360.0,1,2,3,123
1กค-7675,223,9,15000.0,3,2,1,321
1กค3285,286,2,230.0,3,4,4,344
1กฆ-1139,106,9,8000.0,2,2,2,222
1กฆ-1413,81,13,6170.0,2,1,2,212
1กฆ-4343,161,10,11448.0,2,2,1,221
1กฆ-4841,45,9,6000.0,1,2,2,122
1กฆ-5239,213,5,2250.0,3,3,3,333
1กฆ-7657,5,9,13960.0,1,2,1,121
1กฆ-9233,29,9,1720.0,1,2,3,123
1กง-2681,235,5,448.0,3,3,4,334
1กง-683กทม,26,4,200.0,1,3,4,134
1กง-8363,241,3,350.0,3,4,4,344
1กง-9428,187,5,1050.0,3,3,3,333
1กจ-1362กท,410,2,2000.0,4,4,3,443
1กจ-4752,265,2,3500.0,3,4,2,342
1กจ-4930,69,20,3370.0,2,1,2,212
1กฉ-374,400,9,8000.0,4,2,2,422
1กฉ-8570,23,17,16680.0,1,1,1,111
1กช-3702,408,2,1850.0,4,4,3,443
1กช-406,304,18,3800.0,4,1,2,412
1กช-4545,16,22,6220.0,1,1,2,112
1กช-4955,310,4,200.0,4,3,4,434
1กช-505,330,9,14000.0,4,2,1,421
1กช-7415,422,5,448.0,4,3,4,434
1กช-8322,154,10,21400.0,2,2,1,221
1กฌ-1711,345,2,200.0,4,4,4,444
1กฌ-3640,158,9,3220.0,2,2,2,222
1กฌ-3746,226,4,3500.0,3,3,2,332
1กฌ-5092,144,6,2120.0,2,2,3,223
1กฌ-6893,12,5,448.0,1,3,4,134
1กญ-1690,36,8,4120.0,1,2,2,122
1กญ-3192,68,10,1720.0,2,2,3,223
1กญ-6416,428,8,2130.0,4,2,3,423
1กญ-9350,297,2,1450.0,3,4,3,343
1กฎ-1073,413,5,720.0,4,3,3,433
1กฎ-1117,68,2,2100.0,2,4,3,243
1กฎ-1276,61,3,980.0,1,4,3,143
1กฎ-5072,209,20,7420.0,3,1,2,312
1กฎ-8132,308,5,4500.0,4,3,2,432
1กฎ-8244,121,16,2039.9999999999998,2,1,3,213
1กฎ-9050,71,2,1900.0,2,4,3,243
1กฐ-2439,53,2,400.0,1,4,4,144
1กฐ-5847,104,7,480.0,2,2,4,224
