DOCNUM_ID,PEOPLE,STKCOD,DOCNUM,DOCDAT,TRNQTY,STKDES,NETVAL
1,บ-009,T1956015ASSURGY,RN1509170006,9/17/2015,5.0,ยางนอก GY 195/60-15 ASSUR,
2,บ-009,T1856015TZ700FS,RR170228001,3/1/2017,4.0,ยางนอก FS 185/60-15 TZ700,
3,บ-009,T1856015TZ700FS,RR170227001,3/1/2017,2.0,ยางนอก FS 185/60-15 TZ700,
4,บ-009,T1856015TZ700FS,RN170227004,3/3/2017,4.0,ยางนอก FS 185/60-15 FS100,
5,บ-009,T2453520K452FK,RN170727002,7/28/2017,12.0,ยางนอก FK 245/35-20 FK452,
6,บ-009,T2155517NT860,RN170828002,8/29/2017,1.0,ยางนอก NT215/55-17 NT860,
7,บ-009,T2654022KL12KUMHO,RN170911003,9/12/2017,2.0,ยางนอก KUMHO 265/40-22 KL12,
8,บ-009,T2454518PS31KH,RN171019004,10/20/2017,1.0,ยางนอก KH 245/45-18 PS31,
9,บ-009,T1955515TOYO,RN171208005,12/11/2017,2.0,ยางนอก TOYO 195/55-15 T1R,
9,บ-009,T2156016CF2TOYO,RN171208005,12/11/2017,2.0,ยางนอก TOYO 215/60-16 CF2,
10,บ-009,T2454520PARADAYK00,RN171211006,12/16/2017,1.0,ยางนอก YK 245/45-20 PA02,
11,บ-009,T2256017RV02YK,RN171027005,12/18/2017,4.0,ยางนอก YK 225/60-17 RV02,
12,บ-009,MAX WHEEL,RN180107001,1/15/2018,4.0,ล้อแม็กซ์,
13,บ-009,T2155517RE003,RN180130002,2/1/2018,2.0,ยางนอก BS 215/55-17 RE003,
14,บ-009,T2755520TOYO,RN180202004,2/3/2018,8.0,ยางนอก YOKO 275/55-20 PA2,
14,บ-009,T2657016K02,RN180202004,2/3/2018,2.0,ยางรถยนต์ 265/70-16 K02 / BF,
15,บ-009,T2155517E70YK,RN180208002,2/8/2018,1.0,ยางนอก YK 215/55-17 E70,
16,บ-009,T2254018RE003BS00,RN180209004,2/12/2018,2.0,ยางนอก BS 225/40-18 RE003,
17,บ-009,T2657516R405,RN180214003,2/24/2018,20.0,ยางนอก DS 265/75-16 R405,
18,บ-009,T2656018X401,RN180221004,2/24/2018,1.0,ยางนอก 265/60-18 X401,
19,บ-009,T2657516R405,HP180214004,2/24/2018,20.0,ยางนอก DS 265/75-16 R405,
20,บ-009,T1656013R201,RN180306005,3/8/2018,12.0,ยางนอก 165/60-13 R201,
20,บ-009,T2557015ATSAGY,RN180306005,3/8/2018,1.0,ยางนอก GY 255/70-15 AT/SA,
21,บ-009,T2655020KL12KM,HP180305001,3/8/2018,1.0,ยางนอก KM 265/50-20 KL12,
22,บ-009,MAX WHEEL,RN180309004,3/12/2018,4.0,ล้อแม็กซ์,
23,บ-009,T2657516R405,HP180308001,3/13/2018,90.0,ยางนอก DS 265/75-16 R405,
24,บ-009,T2657516R405,HP180307002,3/13/2018,80.0,ยางนอก DS 265/75-16 R405,
25,บ-009,T1557012R202DS,HP180312001,3/13/2018,4.0,ยางนอก DS 155/70-12 R202,
26,บ-009,T2355018PXC1S,RN180314002,3/15/2018,2.0,ยางนอก TOYO 235/50-18 PXC1S,
27,บ-009,T2657516R405,RN1803210001,3/30/2018,155.0,ยางนอก DS 265/75-16 R405,
28,บ-009,T2657516R405,HP180321002,3/30/2018,155.0,ยางนอก DS 265/75-16 R405,
29,บ-009,T2656018D684BS00,RR180213005,4/3/2018,4.0,ยางนอก BS 265/60-18 D684,
30,บ-009,T2657516R405,RR180224013,4/3/2018,5.0,ยางนอก DS 265/75-16 R405,
31,บ-009,T2655020AT1MT,RN180405004,4/9/2018,7.0,ยางนอก MT 265/50-20 AT-1,
32,บ-009,T,RN180331007,4/23/2018,2.0,ยางรถยนต์,
33,บ-009,T2155017RE003BS00,RN180331008,4/23/2018,4.0,ยางนอก BS 215/50-17 RE003,
34,บ-009,T2457016SUVML00,RN180331009,4/23/2018,1.0,ยางนอก ML 245/70-16 SUV,
35,บ-009,T2254518C1STOYO,HP180402001,4/23/2018,2.0,ยางนอก TOYO 225/45-18 C1S,
36,บ-009,T2254517DT30DAYTON,HP180401001,4/23/2018,1.0,ยางนอก DAYTON 225/45-17 DT30,
37,บ-009,T8.518.5114.3,RN180513001,5/15/2018,4.0,ยางรถยนต์ 8.5X18.5-114.3 JAGER,
38,บ-009,T2155017RE003BS00,HP180519002,5/25/2018,4.0,ยางนอก BS 215/50-17 RE003,
39,บ-009,T2156516HPGY00,HP180531004,6/1/2018,1.0,ยางนอก GY 215 /65 -16 GARGO,
40,บ-009,T2354018C1STOYO,RN180604002,6/6/2018,1.0,ยางนอก TOYO 235/40-18 C1S,
